#OTU	JL304_B12_1A	JL315_B01_4A
Zotu387	13	0
Zotu388	21	0
Zotu389	13	0
Zotu39	0	244
Zotu390	18	0
Zotu391	18	0
Zotu392	15	0
Zotu393	22	0
Zotu394	21	6
Zotu395	19	0
Zotu396	13	0
Zotu397	14	0
Zotu398	35	0
Zotu399	18	0
Zotu40	0	248
Zotu400	12	0
Zotu401	12	0
Zotu402	0	12
Zotu403	15	0
Zotu404	12	0
Zotu405	33	0
Zotu406	16	0
Zotu407	0	13
Zotu408	28	0
Zotu41	0	253
Zotu410	14	0
Zotu411	15	0
Zotu412	12	0
Zotu413	0	11
Zotu414	12	0
Zotu415	0	12
Zotu416	0	11
Zotu417	0	13
Zotu418	6	11
Zotu419	17	0
Zotu42	0	230
Zotu420	16	0
Zotu421	12	0
Zotu422	17	0
Zotu423	11	0
Zotu424	11	0
Zotu425	12	0
Zotu426	12	0
Zotu427	11	0
Zotu428	11	0
Zotu429	11	0
Zotu43	0	225
Zotu430	11	0
Zotu431	10	0
Zotu432	10	0
Zotu433	18	0
Zotu434	10	0
Zotu435	10	0
Zotu436	11	0
Zotu437	11	0
Zotu438	12	0
Zotu439	20	0
Zotu44	0	231
Zotu440	14	0
Zotu441	13	0
Zotu442	11	0
Zotu443	16	0
Zotu444	10	0
Zotu445	15	0
Zotu446	10	0
Zotu447	0	10
Zotu448	0	24
Zotu449	10	0
Zotu45	0	235
Zotu450	10	0
Zotu451	13	0
Zotu452	15	0
Zotu453	12	0
Zotu454	22	0
Zotu455	0	10
Zotu456	0	11
Zotu457	11	0
Zotu458	14	0
Zotu459	11	0
Zotu46	0	258
Zotu460	13	0
Zotu461	10	0
Zotu462	12	0
Zotu463	11	0
Zotu464	9	0
Zotu465	13	0
Zotu466	9	0
Zotu467	15	0
Zotu468	0	9
Zotu469	9	0
Zotu47	188	0
Zotu470	0	9
Zotu471	17	0
Zotu472	10	0
Zotu473	0	9
Zotu474	9	0
Zotu475	0	14
Zotu476	10	0
Zotu477	13	0
Zotu478	9	0
Zotu479	9	0
Zotu48	7	208
Zotu480	0	9
Zotu481	9	0
Zotu482	15	0
Zotu483	10	0
Zotu484	12	0
Zotu485	9	0
Zotu486	0	10
Zotu487	12	0
Zotu488	19	0
Zotu489	10	0
Zotu49	0	204
Zotu490	11	0
Zotu491	10	0
Zotu492	15	0
Zotu493	13	0
Zotu494	30	0
Zotu495	13	0
Zotu496	9	0
Zotu497	18	0
Zotu498	12	0
Zotu499	10	0
Zotu50	0	180
Zotu500	26	0
Zotu501	9	0
Zotu502	15	0
Zotu503	0	9
Zotu504	9	0
Zotu505	11	0
Zotu506	8	0
Zotu507	9	0
Zotu508	11	0
Zotu509	12	0
Zotu51	0	171
Zotu510	8	0
Zotu511	8	0
Zotu512	10	0
Zotu513	0	10
Zotu514	15	0
Zotu515	8	0
Zotu516	0	9
Zotu518	9	0
Zotu519	8	0
Zotu52	0	203
Zotu520	0	8
Zotu521	8	0
Zotu523	11	0
Zotu524	8	0
Zotu525	8	0
Zotu526	13	0
Zotu527	12	0
Zotu528	8	0
Zotu529	8	10
Zotu53	0	169
Zotu530	12	0
Zotu531	8	0
Zotu532	8	0
Zotu533	8	0
Zotu535	8	0
Zotu536	13	0
Zotu537	8	0
Zotu538	9	0
Zotu539	8	0
Zotu54	0	165
Zotu540	22	0
Zotu541	8	0
Zotu542	9	0
Zotu543	8	0
Zotu544	14	0
Zotu545	9	0
Zotu546	9	0
Zotu547	10	0
Zotu548	8	0
Zotu549	10	0
Zotu55	0	175
Zotu550	9	0
Zotu551	16	0
Zotu56	0	162
Zotu57	0	168
Zotu58	0	161
Zotu59	0	151
Zotu6	2419	172
Zotu60	0	153
Zotu61	0	159
Zotu62	156	0
Zotu63	0	154
Zotu64	0	179
Zotu65	176	0
Zotu66	0	144
Zotu67	163	0
Zotu68	8	144
Zotu69	0	153
Zotu7	2109	0
Zotu70	153	0
Zotu71	0	141
Zotu72	164	0
Zotu73	0	136
Zotu74	144	13
Zotu75	0	149
Zotu76	0	146
Zotu77	145	0
Zotu78	163	3
Zotu79	0	143
Zotu8	1481	0
Zotu80	132	0
Zotu81	0	131
Zotu83	8	125
Zotu84	0	117
Zotu85	26	108
Zotu86	0	112
Zotu87	0	127
Zotu88	117	0
Zotu89	0	129
Zotu9	1342	0
Zotu90	117	0
Zotu91	0	115
Zotu92	0	118
Zotu93	0	112
Zotu94	124	0
Zotu95	0	117
Zotu96	0	113
Zotu97	0	109
Zotu98	0	119
Zotu99	0	104
